DATE,QO,QO_ZSCORE
2005-09-26,467,0.779123493
2005-09-27,1267,3.269745044
2005-09-28,1304,3.384936291
2005-09-29,738,1.622821543
2005-09-30,284,0.209393813
2005-10-01,552,1.043752033
2005-10-02,785,1.76914556
2005-10-03,878,2.058680315
2005-10-04,906,2.145852069
2005-10-05,903,2.136512238
2005-10-06,907,2.148965346
2005-10-07,906,2.145852069
2005-10-08,915,2.173871562
2005-10-09,912,2.164531731
2005-10-10,919,2.18632467
2005-10-11,914,2.170758285
2005-10-12,914,2.170758285
2005-10-13,912,2.164531731
2005-10-14,901,2.130285685
2005-10-15,911,2.161418454
2005-10-16,909,2.1551919
2005-10-17,903,2.136512238
2005-10-18,911,2.161418454
2005-10-19,911,2.161418454
2005-10-20,911,2.161418454
2005-10-21,911,2.161418454
2005-10-22,911,2.161418454
2005-10-23,908,2.152078623
2005-10-24,876,2.052453761
2005-10-25,876,2.052453761
2005-10-26,876,2.052453761
2005-10-27,876,2.052453761
2005-10-28,873,2.04311393
2005-10-29,886,2.083586531
2005-10-30,878,2.058680315
2005-10-31,898,2.120945854
2005-11-01,874,2.046227207
2005-11-02,865,2.018207715
2005-11-03,847,1.96216873
2005-11-04,891,2.099152915
2005-11-05,879,2.061793592
2005-11-06,857,1.993301499
2005-11-07,866,2.021320992
2005-11-08,875,2.049340484
2005-11-09,847,1.96216873
2005-11-10,892,2.102266192
2005-11-11,866,2.021320992
2005-11-12,855,1.987074945
2005-11-13,863,2.011981161
2005-11-14,867,2.024434269
2005-11-15,877,2.055567038
2005-11-16,858,1.996414776
2005-11-17,897,2.117832577
2005-11-18,883,2.0742467
2005-11-19,888,2.089813084
2005-11-20,893,2.105379469
2005-11-21,878,2.058680315
2005-11-22,894,2.108492746
2005-11-23,885,2.080473254
2005-11-24,874,2.046227207
2005-11-25,898,2.120945854
2005-11-26,903,2.136512238
2005-11-27,902,2.133398962
2005-11-28,962,2.320195578
2005-11-29,930,2.220570716
2005-11-30,954,2.295289362
2005-12-01,948,2.276609701
2005-12-02,959,2.310855747
2005-12-03,922,2.1956645
2005-12-04,946,2.270383147
2005-12-05,950,2.282836255
2005-12-06,934,2.233023824
2005-12-07,963,2.323308855
2005-12-08,968,2.33887524
2005-12-09,994,2.41982044
2005-12-10,1023,2.510105471
2005-12-11,1021,2.503878917
2005-12-12,991,2.410480609
2005-12-13,967,2.335761963
2005-12-14,963,2.323308855
2005-12-15,986,2.394914224
2005-12-16,968,2.33887524
2005-12-17,975,2.360668178
2005-12-18,990,2.407367332
2005-12-19,969,2.341988516
2005-12-20,994,2.41982044
2005-12-21,973,2.354441624
2005-12-22,991,2.410480609
2005-12-23,970,2.345101793
2005-12-24,980,2.376234563
2005-12-25,1039,2.559917902
2005-12-26,1028,2.525671856
2005-12-27,1010,2.469632871
2005-12-28,1086,2.706241918
2005-12-29,1089,2.715581749
2005-12-30,1039,2.559917902
2005-12-31,1158,2.930397858
2006-01-01,948,2.276609701
2006-01-02,959,2.310855747
2006-01-03,922,2.1956645
2006-01-04,946,2.270383147
2006-01-05,950,2.282836255
2006-01-06,934,2.233023824
2006-01-07,963,2.323308855
2006-01-08,968,2.33887524
2006-01-09,994,2.41982044
2006-01-10,1023,2.510105471
2006-01-11,1021,2.503878917
2006-01-12,991,2.410480609
2006-01-13,967,2.335761963
2006-01-14,963,2.323308855
2006-01-15,986,2.394914224
2006-01-16,968,2.33887524
2006-01-17,975,2.360668178
2006-01-18,990,2.407367332
2006-01-19,969,2.341988516
2006-01-20,994,2.41982044
2006-01-21,973,2.354441624
2006-01-22,991,2.410480609
2006-01-23,970,2.345101793
2006-01-24,980,2.376234563
2006-01-25,1039,2.559917902
2006-01-26,1028,2.525671856
2006-01-27,1010,2.469632871
2006-01-28,1086,2.706241918
2006-01-29,1089,2.715581749
2006-01-30,1039,2.559917902
2006-01-31,1158,2.930397858
2006-02-01,1164,2.94907752
2006-02-02,1142,2.880585427
2006-02-03,1141,2.87747215
2006-02-04,1121,2.815206611
2006-02-05,1107,2.771620734
2006-02-06,1114,2.793413673
2006-02-07,1103,2.759167626
2006-02-08,1100,2.749827796
2006-02-09,1118,2.80586678
2006-02-10,1103,2.759167626
2006-02-11,1107,2.771620734
2006-02-12,1181,3.002003228
2006-02-13,1168,2.961530627
2006-02-14,1167,2.95841735
2006-02-15,1164,2.94907752
2006-02-16,1128,2.83699955
2006-02-17,1045,2.578597564
2006-02-18,1062,2.631523272
2006-02-19,1084,2.700015365
2006-02-20,1071,2.659542764
2006-02-21,1090,2.718695026
2006-02-22,1069,2.65331621
2006-02-23,1122,2.818319888
2006-02-24,1208,3.086061705
2006-02-25,1213,3.10162809
2006-02-26,1213,3.10162809
2006-02-27,1213,3.10162809
2006-02-28,1191,3.033135997
2006-03-01,1190,3.03002272
2006-03-02,1246,3.204366229
2006-03-03,1246,3.204366229
2006-03-04,1247,3.207479506
2006-03-05,1230,3.154553798
2006-03-06,1230,3.154553798
2006-03-07,1230,3.154553798
2006-03-08,1153,2.914831473
2006-03-09,1147,2.896151812
2006-03-10,1162,2.942850966
2006-03-11,1159,2.933511135
2006-03-12,1181,3.002003228
2006-03-13,1205,3.076721874
2006-03-14,1187,3.020682889
2006-03-15,1193,3.039362551
2006-03-16,1181,3.002003228
2006-03-17,1190,3.03002272
2006-03-18,1178,2.992663397
2006-03-19,1215,3.107854644
2006-03-20,1215,3.107854644
2006-03-21,1215,3.107854644
2006-03-22,1164,2.94907752
2006-03-23,1144,2.886811981
2006-03-24,1173,2.977097012
2006-03-25,1156,2.924171304
2006-03-26,1171,2.970870458
2006-03-27,1170,2.967757181
2006-03-28,1184,3.011343058
2006-03-29,1193,3.039362551
2006-03-30,1221,3.126534305
2006-03-31,1222,3.129647582
2006-04-01,1219,3.120307751
2006-04-02,1178,2.992663397
2006-04-03,1141,2.87747215
2006-04-04,1219,3.120307751
2006-04-05,1181,3.002003228
2006-04-06,1178,2.992663397
2006-04-07,1171,2.970870458
2006-04-08,1171,2.970870458
2006-04-09,1082,2.693788811
2006-04-10,1090,2.718695026
2006-04-11,1085,2.703128641
2006-04-12,1066,2.64397638
2006-04-13,1072,2.662656041
2006-04-14,1074,2.668882595
2006-04-15,1084,2.700015365
2006-04-16,1070,2.656429487
2006-04-17,1082,2.693788811
2006-04-18,1068,2.650202933
2006-04-19,1067,2.647089657
2006-04-20,1102,2.756054349
2006-04-21,1070,2.656429487
2006-04-22,1097,2.740487965
2006-04-23,1188,3.023796166
2006-04-24,1195,3.045589105
2006-04-25,1207,3.082948428
2006-04-26,1206,3.079835151
2006-04-27,1193,3.039362551
2006-04-28,1180,2.998889951
2006-04-29,1180,2.998889951
2006-04-30,1185,3.014456335
2006-05-01,1200,3.061155489
2006-05-02,1200,3.061155489
2006-05-03,1184,3.011343058
2006-05-04,1203,3.07049532
2006-05-05,1170,2.967757181
2006-05-06,1201,3.064268766
2006-05-07,1181,3.002003228
2006-05-08,1188,3.023796166
2006-05-09,1160,2.936624412
2006-05-10,1165,2.952190797
2006-05-11,1165,2.952190797
2006-05-12,1178,2.992663397
2006-05-13,1159,2.933511135
2006-05-14,1159,2.933511135
2006-05-15,1159,2.933511135
2006-05-16,1144,2.886811981
2006-05-17,1148,2.899265089
2006-05-18,1129,2.840112827
2006-05-19,1156,2.924171304
2006-05-20,1124,2.824546442
2006-05-21,1115,2.79652695
2006-05-22,1129,2.840112827
2006-05-23,1124,2.824546442
2006-05-24,1157,2.927284581
2006-05-25,1164,2.94907752
2006-05-26,1048,2.587937395
2006-05-27,1073,2.665769318
2006-05-28,1098,2.743601242
2006-05-29,1129,2.840112827
2006-05-30,1252,3.22304589
2006-05-31,1206,3.079835151
2006-06-01,1189,3.026909443
2006-06-02,1124,2.824546442
2006-06-03,1085,2.703128641
2006-06-04,1101,2.752941072
2006-06-05,1104,2.762280903
2006-06-06,1113,2.790300396
2006-06-07,1095,2.734261411
2006-06-08,1084,2.700015365
2006-06-09,1118,2.80586678
2006-06-10,1064,2.637749826
2006-06-11,1081,2.690675534
2006-06-12,1078,2.681335703
2006-06-13,1106,2.768507457
2006-06-14,1084,2.700015365
2006-06-15,1105,2.76539418
2006-06-16,1096,2.737374688
2006-06-17,1091,2.721808303
2006-06-18,1091,2.721808303
2006-06-19,1094,2.731148134
2006-06-20,1097,2.740487965
2006-06-21,1090,2.718695026
2006-06-22,1090,2.718695026
2006-06-23,1087,2.709355195
2006-06-24,1090,2.718695026
2006-06-25,1080,2.687562257
2006-06-26,1074,2.668882595
2006-06-27,1076,2.675109149
2006-06-28,1082,2.693788811
2006-06-29,1098,2.743601242
2006-06-30,1083,2.696902088
2006-07-01,1093,2.728034857
2006-07-02,1080,2.687562257
2006-07-03,1090,2.718695026
2006-07-04,1086,2.706241918
2006-07-05,1086,2.706241918
2006-07-06,1099,2.746714519
2006-07-07,1081,2.690675534
2006-07-08,1072,2.662656041
2006-07-09,1092,2.72492158
2006-07-10,1097,2.740487965
2006-07-11,1098,2.743601242
2006-07-12,1085,2.703128641
2006-07-13,1087,2.709355195
2006-07-14,1090,2.718695026
2006-07-15,1083,2.696902088
2006-07-16,1092,2.72492158
2006-07-17,1086,2.706241918
2006-07-18,1092,2.72492158
2006-07-19,1078,2.681335703
2006-07-20,1083,2.696902088
2006-07-21,1074,2.668882595
2006-07-22,1074,2.668882595
2006-07-23,1070,2.656429487
2006-07-24,1074,2.668882595
2006-07-25,1064,2.637749826
2006-07-26,1083,2.696902088
2006-07-27,1077,2.678222426
2006-07-28,1082,2.693788811
2006-07-29,1072,2.662656041
2006-07-30,1088,2.712468472
2006-07-31,1062,2.631523272
2006-08-01,1070,2.656429487
2006-08-02,1074,2.668882595
2006-08-03,1069,2.65331621
2006-08-04,1193,3.039362551
2006-08-05,1097,2.740487965
2006-08-06,1103,2.759167626
2006-08-07,1103,2.759167626
2006-08-08,1088,2.712468472
2006-08-09,1096,2.737374688
2006-08-10,1106,2.768507457
2006-08-11,1097,2.740487965
2006-08-12,1087,2.709355195
2006-08-13,1088,2.712468472
2006-08-14,1087,2.709355195
2006-08-15,1095,2.734261411
2006-08-16,1089,2.715581749
2006-08-17,1089,2.715581749
2006-08-18,1073,2.665769318
2006-08-19,1123,2.821433165
2006-08-20,1088,2.712468472
2006-08-21,1093,2.728034857
2006-08-22,1094,2.731148134
2006-08-23,1095,2.734261411
2006-08-24,1076,2.675109149
2006-08-25,1084,2.700015365
2006-08-26,1076,2.675109149
2006-08-27,1082,2.693788811
2006-08-28,1080,2.687562257
2006-08-29,1083,2.696902088
2006-08-30,1072,2.662656041
2006-08-31,1077,2.678222426
2006-09-01,1072,2.662656041
2006-09-02,1077,2.678222426
2006-09-03,1060,2.625296718
2006-09-04,1061,2.628409995
2006-09-05,1054,2.606617056
2006-09-06,1043,2.57237101
2006-09-07,1047,2.584824118
2006-09-08,1059,2.622183441
